DensE1,LongE1,LatE1
453.4859115,-74.08591964,4.476014024
679.5580518,-74.13133222,4.474926915
576.0666608,-74.15349794,4.475467537
597.3194329,-74.15187672,4.48197876
412.2448375,-74.09781328,4.470587905
1185.433609,-74.12214385,4.512366111
435.9801193,-74.14268417,4.461361286
517.1003956,-74.12808936,4.487949264
569.5486967,-74.09456988,4.485237876
483.8739187,-74.08862287,4.482525049
486.0941363,-74.10700387,4.470587593
479.5137729,-74.13025186,4.487406523
473.3885206,-74.12051866,4.45702221
641.7749995,-74.11619429,4.467331634
491.5976884,-74.11132853,4.463533755
455.3510291,-74.13457476,4.459191607
458.3118225,-74.13998178,4.469500346
579.0926956,-74.14647051,4.483064466
689.6693054,-74.11403251,4.481439044
375.8982162,-74.08916325,4.466789974
997.2427852,-74.10754607,4.509111334
634.4918489,-74.13620211,4.528100149
427.4335121,-74.14106232,4.461361428
458.5791926,-74.10484124,4.466789557
435.377645,-74.13781831,4.457563582
989.9877012,-74.11295216,4.500429683
570.4588041,-74.14430769,4.479809139
1043.719798,-74.11727782,4.509653454
638.8534269,-74.11295104,4.47709839
391.7155901,-74.09511,4.463534323
437.356345,-74.10213801,4.462991532
561.2725357,-74.14917483,4.495001139
638.1425452,-74.11619415,4.464618691
457.8017516,-74.10484126,4.467332145
601.4754622,-74.13565834,4.489033876
486.471539,-74.12051875,4.458649976
895.4693,-74.118898,4.478183254
461.0976141,-74.13511559,4.461904507
436.1966117,-74.13835897,4.458106126
529.5058561,-74.10105724,4.477641458
492.8534017,-74.13781938,4.470585703
1122.907518,-74.11944031,4.507482981
572.9285475,-74.15079545,4.481978869
416.4567463,-74.08646024,4.473843663
599.6316278,-74.1540389,4.478723009
433.6059567,-74.10159743,4.464076727
637.8649275,-74.10970722,4.476013363
447.9941793,-74.14160265,4.45810585
612.4486967,-74.1589048,4.480892835
436.3200922,-74.14322488,4.462446414
1026.223517,-74.10430151,4.491206055
453.1142748,-74.1048412,4.46570438
470.5454019,-74.09997584,4.472758196
504.1156766,-74.11240974,4.462991116
997.3803373,-74.12430353,4.466245984
474.3293221,-74.10970673,4.464619005
454.6444786,-74.14160261,4.457563262
493.7294793,-74.13836063,4.478181894
540.6604558,-74.16052638,4.478179713
609.2084173,-74.11078828,4.471672607
458.1929491,-74.13349349,4.458649102
430.4329607,-74.15025375,4.471127162
398.3678347,-74.09727247,4.463534268
871.6972589,-74.12322216,4.464075698
834.2378127,-74.12376274,4.463533076
549.1744519,-74.15782307,4.476552251
440.7740343,-74.13889954,4.457563493
